kind,volume,contained,katz_tao_ratio,frostman_ratio,a,b,thickness
oriented_box,0.34432930158491576,1,0.010455107896509344,0.12100819324663593,0.2846070831000631,0.6049204711181684,
oriented_box,0.05928133396497796,0,0.0,0.0,0.1041459216672686,0.2846070831000631,
oriented_box,0.20829184333453715,0,0.0,0.0,0.1721646507924579,0.6049204711181684,
oriented_box,0.2082918433345372,0,0.0,0.0,0.2846070831000631,0.36592877637782695,
oriented_box,1.5555326690470606,2,0.004628639528612931,0.05357221676635336,0.7777663345235303,1.0,
oriented_box,0.021692745999849695,0,0.0,0.0,0.063,0.1721646507924579,
oriented_box,1.209840942236336,2,0.005951195523843925,0.06887957782226764,0.7777663345235303,0.7777663345235303,
oriented_box,0.05928133396497796,0,0.0,0.0,0.1721646507924579,0.1721646507924579,
oriented_box,0.04610702582360618,0,0.0,0.0,0.1041459216672686,0.22135780780216993,
oriented_box,2.0,3,0.0054,0.0625,1.0,1.0,
oriented_box,0.2678077387627472,0,0.0,0.0,0.22135780780216993,0.6049204711181684,
oriented_box,0.04610702582360619,0,0.0,0.0,0.063,0.36592877637782695,
oriented_box,1.209840942236336,5,0.014877988809609811,0.17219894455566911,0.7777663345235303,0.7777663345235303,
oriented_box,0.05928133396497796,0,0.0,0.0,0.1041459216672686,0.2846070831000631,
oriented_box,0.7318575527556536,0,0.0,0.0,0.6049204711181684,0.6049204711181684,
oriented_box,2.0,13,0.0234,0.2708333333333333,1.0,1.0,
oriented_box,0.010206150160591506,0,0.0,0.0,0.063,0.08100119175072623,
oriented_box,0.0979985581499648,0,0.0,0.0,0.22135780780216993,0.22135780780216993,
oriented_box,0.01687188754205308,0,0.0,0.0,0.063,0.13390386938137366,
oriented_box,0.34432930158491565,0,0.0,0.0,0.22135780780216993,0.7777663345235303,
oriented_box,0.44271561560433986,0,0.0,0.0,0.22135780780216993,1.0,
oriented_box,0.16200238350145246,0,0.0,0.0,0.08100119175072623,1.0,
oriented_box,0.9409735549996502,1,0.0038258248394678193,0.0442803800864331,0.4704867774998251,1.0,
oriented_box,1.209840942236336,2,0.005951195523843925,0.06887957782226764,0.7777663345235303,0.7777663345235303,
oriented_box,0.02789108378307341,0,0.0,0.0,0.08100119175072623,0.1721646507924579,
oriented_box,0.2678077387627472,1,0.013442479357137866,0.15558425181872532,0.22135780780216993,0.6049204711181684,
oriented_box,0.9409735549996497,2,0.007651649678935642,0.08856076017286624,0.6049204711181684,0.7777663345235303,
oriented_box,2.0,11,0.019799999999999998,0.22916666666666666,1.0,1.0,
oriented_box,0.4427156156043399,0,0.0,0.0,0.36592877637782695,0.6049204711181684,
oriented_box,0.3443293015849158,0,0.0,0.0,0.36592877637782695,0.4704867774998251,
oriented_box,0.09799855814996486,0,0.0,0.0,0.13390386938137366,0.36592877637782695,
oriented_box,1.2098409422363368,4,0.011902391047687843,0.13775915564453522,0.6049204711181684,1.0,
oriented_box,1.5555326690470606,4,0.009257279057225861,0.10714443353270672,0.7777663345235303,1.0,
oriented_box,0.09799855814996482,0,0.0,0.0,0.063,0.7777663345235303,
oriented_box,0.44271561560433986,1,0.008131630945716091,0.09411609890875107,0.4704867774998251,0.4704867774998251,
oriented_box,0.12599999999999997,0,0.0,0.0,0.1041459216672686,0.6049204711181684,
oriented_box,0.5692141662001262,1,0.006324508794347715,0.07320033326791336,0.2846070831000631,1.0,
oriented_box,1.5555326690470606,2,0.004628639528612931,0.05357221676635336,0.7777663345235303,1.0,
oriented_box,2.0,13,0.0234,0.2708333333333333,1.0,1.0,
oriented_box,0.07621997936088921,0,0.0,0.0,0.13390386938137366,0.2846070831000631,
oriented_box,0.5692141662001261,1,0.006324508794347716,0.07320033326791338,0.4704867774998251,0.6049204711181684,
oriented_box,0.7318575527556535,0,0.0,0.0,0.4704867774998251,0.7777663345235303,
oriented_box,0.021692745999849695,0,0.0,0.0,0.08100119175072623,0.13390386938137366,
oriented_box,0.5692141662001261,1,0.006324508794347716,0.07320033326791338,0.4704867774998251,0.6049204711181684,
oriented_box,0.3443293015849158,1,0.010455107896509342,0.1210081932466359,0.36592877637782695,0.4704867774998251,
oriented_box,2.0,5,0.009,0.10416666666666667,1.0,1.0,
oriented_box,0.26780773876274716,0,0.0,0.0,0.1721646507924579,0.7777663345235303,
oriented_box,0.3443293015849158,0,0.0,0.0,0.36592877637782695,0.4704867774998251,
oriented_box,0.126,0,0.0,0.0,0.1721646507924579,0.36592877637782695,
oriented_box,0.7318575527556536,2,0.009837980045283313,0.11386550978337169,0.6049204711181684,0.6049204711181684,
oriented_box,0.027891083783073416,0,0.0,0.0,0.1041459216672686,0.13390386938137366,
oriented_box,2.0,6,0.0108,0.125,1.0,1.0,
oriented_box,0.021692745999849695,0,0.0,0.0,0.08100119175072623,0.13390386938137366,
oriented_box,0.5692141662001261,1,0.006324508794347716,0.07320033326791338,0.36592877637782695,0.7777663345235303,
oriented_box,0.9409735549996497,1,0.003825824839467821,0.04428038008643312,0.6049204711181684,0.7777663345235303,
oriented_box,0.5692141662001262,1,0.006324508794347715,0.07320033326791336,0.2846070831000631,1.0,
oriented_box,0.027891083783073412,0,0.0,0.0,0.063,0.22135780780216993,
oriented_box,1.209840942236336,1,0.0029755977619219626,0.03443978891113382,0.7777663345235303,0.7777663345235303,
oriented_box,0.12599999999999997,0,0.0,0.0,0.13390386938137366,0.4704867774998251,
oriented_box,1.5555326690470606,2,0.004628639528612931,0.05357221676635336,0.7777663345235303,1.0,
oriented_box,0.44271561560433986,1,0.008131630945716091,0.09411609890875107,0.4704867774998251,0.4704867774998251,
