kind,volume,contained,katz_tao_ratio,frostman_ratio,a,b,thickness
oriented_box,0.34432930158491576,1,0.010455107896509344,0.06050409662331797,0.2846070831000631,0.6049204711181684,
oriented_box,0.05928133396497796,0,0.0,0.0,0.1041459216672686,0.2846070831000631,
oriented_box,0.20829184333453715,0,0.0,0.0,0.1721646507924579,0.6049204711181684,
oriented_box,0.2082918433345372,0,0.0,0.0,0.2846070831000631,0.36592877637782695,
oriented_box,1.5555326690470606,3,0.0069429592929193965,0.040179162574765025,0.7777663345235303,1.0,
oriented_box,0.021692745999849695,0,0.0,0.0,0.063,0.1721646507924579,
oriented_box,1.209840942236336,1,0.0029755977619219626,0.01721989445556691,0.7777663345235303,0.7777663345235303,
oriented_box,0.05928133396497796,0,0.0,0.0,0.1721646507924579,0.1721646507924579,
oriented_box,0.04610702582360618,0,0.0,0.0,0.1041459216672686,0.22135780780216993,
oriented_box,2.0,21,0.0378,0.21875,1.0,1.0,
oriented_box,0.2678077387627472,1,0.013442479357137866,0.07779212590936266,0.22135780780216993,0.6049204711181684,
oriented_box,0.04610702582360619,0,0.0,0.0,0.063,0.36592877637782695,
oriented_box,1.209840942236336,8,0.0238047820953757,0.13775915564453528,0.7777663345235303,0.7777663345235303,
oriented_box,0.05928133396497796,0,0.0,0.0,0.1041459216672686,0.2846070831000631,
oriented_box,0.7318575527556536,2,0.009837980045283313,0.056932754891685845,0.6049204711181684,0.6049204711181684,
oriented_box,2.0,26,0.0468,0.2708333333333333,1.0,1.0,
oriented_box,0.010206150160591506,0,0.0,0.0,0.063,0.08100119175072623,
oriented_box,0.0979985581499648,0,0.0,0.0,0.22135780780216993,0.22135780780216993,
oriented_box,0.01687188754205308,0,0.0,0.0,0.063,0.13390386938137366,
oriented_box,0.34432930158491565,1,0.010455107896509346,0.060504096623317974,0.22135780780216993,0.7777663345235303,
oriented_box,0.44271561560433986,0,0.0,0.0,0.22135780780216993,1.0,
oriented_box,0.16200238350145246,0,0.0,0.0,0.08100119175072623,1.0,
oriented_box,0.9409735549996502,4,0.015303299357871277,0.0885607601728662,0.4704867774998251,1.0,
oriented_box,1.209840942236336,1,0.0029755977619219626,0.01721989445556691,0.7777663345235303,0.7777663345235303,
oriented_box,0.02789108378307341,0,0.0,0.0,0.08100119175072623,0.1721646507924579,
oriented_box,0.2678077387627472,1,0.013442479357137866,0.07779212590936266,0.22135780780216993,0.6049204711181684,
oriented_box,0.9409735549996497,2,0.007651649678935642,0.04428038008643312,0.6049204711181684,0.7777663345235303,
oriented_box,2.0,16,0.0288,0.16666666666666666,1.0,1.0,
oriented_box,0.4427156156043399,1,0.008131630945716091,0.04705804945437553,0.36592877637782695,0.6049204711181684,
oriented_box,0.3443293015849158,0,0.0,0.0,0.36592877637782695,0.4704867774998251,
oriented_box,0.09799855814996486,0,0.0,0.0,0.13390386938137366,0.36592877637782695,
oriented_box,1.2098409422363368,7,0.020829184333453727,0.12053926118896832,0.6049204711181684,1.0,
